site_code,store_number,brand,station_name,address,city,state,zip,latitude,longitude,phone,fuel_type,retail_price,discount_price,your_price,effective_date,parking_spaces_count,fuel_lane_count,shower_count,amenities,restaurants,source,pricing_city,pricing_state,location_city,location_state,city_mismatch,state_mismatch,is_usa,is_canada,missing_coordinates,missing_current_price
041,41,Pilot,Pilot Travel Center,3060 Owingsville Rd,Mount Sterling,KY,40353,38.085998446252916,-83.89884095937596,(859) 497-4041,DSL,4.999,4.949,4.1,2026-06-18,70,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mt Sterling,KY,Mount Sterling,KY,yes,no,yes,no,no,no
134,134,Pilot,Pilot Travel Center,4231 Clearwater Rd,Saint Cloud,MN,56301,45.49616589491213,-94.14860762880134,(320) 251-8455,DSL,4.299,4.249,4.0119,2026-06-18,44,6,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,St Cloud,MN,Saint Cloud,MN,yes,no,yes,no,no,no
156,156,Pilot,Pilot Travel Center,95 Free Henry Ford Rd,Madisonville,KY,42431,37.255317,-87.448829,(270) 258-5213,DSL,4.699,4.649,4.0802,2026-06-18,85,7,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mortons Gap,KY,Madisonville,KY,yes,no,yes,no,no,no
313,313,Pilot,Pilot Travel Center,699 IL-203,East Saint Louis,IL,62201,38.6521180055513,-90.13190753733092,(618) 875-5800,DSL,5.159,5.109,4.4575,2026-06-18,200,9,11,Electric Vehicle Charging Station | Mobile Ordering,Taco Bell | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,East St Louis,IL,East Saint Louis,IL,yes,no,yes,no,no,no
482,482,Pilot,Pilot Travel Center,4610 Broadway St,Mount Vernon,IL,62864,38.31266083319751,-88.96102649073791,(618) 244-1216,DSL,4.959,4.909,4.6078,2026-06-18,100,8,7,Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mt. Vernon,IL,Mount Vernon,IL,yes,no,yes,no,no,no
493,493,Flying J,Flying J Travel Center,113 Motel Dr,Saint George,SC,29477,33.193987365125956,-80.60230509010448,(843) 563-8989,DSL,4.599,4.549,4.3125,2026-06-18,118,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Denny's | Pilot Eats,Pilot/Flying J pricing + locations,St George,SC,Saint George,SC,yes,no,yes,no,no,no
518,518,Flying J,Flying J Travel Center,2210 Camp Swatara Rd,Myerstown,PA,17067,40.46335168778975,-76.33972927049726,(717) 933-4146,DSL,5.659,5.609,4.5957,2026-06-18,140,11,13,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Subway | Pilot Eats,Pilot/Flying J pricing + locations,Frystown,PA,Myerstown,PA,yes,no,yes,no,no,no
549,549,Flying J,Flying J Travel Center,125 Plaza Ln,Mount Airy,NC,27030,36.48649057404054,-80.74656385152053,(743) 212-0310,DSL,4.899,4.849,4.1619,2026-06-18,150,10,10,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Mt Airy,NC,Mount Airy,NC,yes,no,yes,no,no,no
575,575,Pilot,Pilot Travel Center,491 St Mary's Rd,St. Mary's,GA,31558,30.760673125363606,-81.64907624610727,(912) 576-8460,DSL,4.699,4.649,4.3456,2026-06-18,235,14,12,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Subway | Pilot Eats,Pilot/Flying J pricing + locations,Saint Marys,GA,St. Mary's,GA,yes,no,yes,no,no,no
596,596,Pilot,Pilot Travel Center,2424 Wadhams Rd,Smiths Creek,MI,48074,42.9767061,-82.5421841,(810) 642-2064,DSL,5.459,5.409,4.6677,2026-06-18,65,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Kimball Township,MI,Smiths Creek,MI,yes,no,yes,no,no,no
