Store #,Name,Address,City,State,Zip Code,Interstate,Latitude,Longitude,Phone Number,Parking Spaces Count,Fuel Lane Count,Shower Count,Amenities,Restaurants
461,Flying J Travel Center,19325 Essex County Rd 42,Tilbury,ON,N0P 2L0,"ON-401, Exit 56",42.26292725888837,-82.46119072023772,(519) 682-1140,100,6,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Pilot Eats EXPRESS
463,Flying J Dealer,5906 Oil Heritage Rd,Wyoming,ON,N0N 1T0,"ON-402, Exit 25",42.987580458501604,-82.11682003439331,(519) 845-0023,100,8,0,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,
785,Flying J Travel Center,11511 40 St SE,Calgary,AB,T2Z 4M8,114 Ave SE & 40 St SE,50.949371985060374,-113.97976132226908,(403) 720-0904,128,8,0,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Denny's | Pilot Eats
786,Flying J Travel Center,50 Pembina Rd,Sherwood Park,AB,T8H 2G9,"Hwy 16, Exit 400C",53.566835326400536,-113.3169472924862,(780) 416-2035,142,8,9,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Denny's | Pilot Eats
788,Flying J Travel Center,4100 Portage Ave,Headingley,MB,R4H 1C5,Hwy 1 & Camp Manitou Rd,49.87751925571946,-97.33989645630032,(204) 202-1198,150,8,14,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Denny's | Pilot Eats
789,Flying J Travel Center,3700 Highbury Ave S,London,ON,N6N 1P3,"ON-401, Exit 189",42.93361756476158,-81.17500907713274,(519) 686-9154,200,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Denny's | Pilot Eats
790,Flying J Travel Center,628 County Rd 41,Napanee,ON,K7R 3L2,"ON-401, Exit 579",44.266494161578635,-76.96763284049284,(613) 354-7044,165,12,17,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash,Denny's | Pilot Eats
791,Flying J Travel Center,3850 Idylwyld Dr N,Saskatoon,SK,S7P 0A1,SK-11 & Marquis Dr,52.19576739849309,-106.66856742460632,(306) 955-6840,85,5,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Denny's | Pilot Eats
792,Flying J Travel Center,1260 Cassils Rd E,Brooks,AB,T1R 1B7,Trans-Canada Hwy & Cassils Rd,50.57272745447079,-111.86809289947473,(403) 362-5594,20,3,2,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | Lottery | Pegasus | Truck Parking Spaces,Denny's | Pilot Eats EXPRESS
793,Flying J Travel Center,4216 72 Ave SE,Calgary,AB,T2C 2C1,72 Ave SE & 40 St SE,50.9900423,-113.9746057,(403) 879-4338,15,6,2,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,Pilot Eats
