Store #,Name,Address,City,State,Zip Code,Interstate,Latitude,Longitude,Phone Number,Parking Spaces Count,Fuel Lane Count,Shower Count,Amenities,Restaurants
16,ONE9 Travel Center,5772 N US Hwy 68,Wilmington,OH,45177,"I-71, Exit 50",39.52269640606008,-83.8461018,(937) 382-0464,12,6,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
23,ONE9 Travel Center,7205 S State Rd,Ionia,MI,48846,"I-96, Exit 67",42.88296566287978,-85.07382574117912,(616) 527-6520,20,6,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
28,ONE9 Travel Center,15151 W Commerce Rd,Daleville,IN,47334,"I-69, Exit 234",40.112722,-85.565895,(765) 378-3599,35,5,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats EXPRESS
36,ONE9 Travel Center,4105 US-30 E,Valparaiso,IN,46383,US-30 & IN-49,41.448527,-87.010376,(219) 464-1644,25,4,3,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS
46,ONE9 Travel Center,2929 Scottsville Rd,Franklin,KY,42134,"I-65, Exit 6",36.716046,-86.525849,(270) 586-4149,35,8,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
58,ONE9 Travel Center,2032 NC-48,Pleasant Hill,NC,27866,"I-95, Exit 180",36.523299,-77.587281,(252) 537-4476,42,6,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
61,ONE9 Travel Center,12818 SC-56,Clinton,SC,29325,"I-26, Exit 52",34.509127,-81.858031,(864) 833-4555,21,6,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
64,Mr. Fuel Travel Center,1521 N Main St,Summerville,SC,29486,"I-26, Exit 199B",33.03891850148002,-80.14231133007678,(843) 486-5770,15,5,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,McDonalds | Pilot Eats EXPRESS
72,Mr. Fuel Travel Center,1504 Dean Forest Rd,Savannah,GA,31408,"I-16, Exit 160",32.072302,-81.199597,(912) 964-5280,0,5,1,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,Subway | Pilot Eats EXPRESS
79,ONE9 Travel Center,2601 S Range Ave,Denham Springs,LA,70726,"I-12, Exit 10",30.45202977898857,-90.95706370674591,(225) 665-4151,49,5,3,Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS
