site_code,store_number,brand,station_name,address,city,state,zip,latitude,longitude,phone,fuel_type,retail_price,discount_price,your_price,effective_date,parking_spaces_count,fuel_lane_count,shower_count,amenities,restaurants,source,pricing_city,pricing_state,location_city,location_state,is_usa,is_canada,missing_coordinates,missing_current_price
001,1,Pilot,Pilot Travel Center,5868 Nittany Valley Dr,Mill Hall,PA,17751,41.03420615544921,-77.5160584077943,(570) 726-7618,DSL,5.759,5.709,4.6259,2026-06-18,66,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Cinnabon | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mill Hall,PA,Mill Hall,PA,yes,no,no,no
002,2,Pilot,Pilot Travel Center,2246 OH-45,Austinburg,OH,44010,41.7855178,-80.8536977,(440) 275-3303,DSL,5.199,5.149,4.4407,2026-06-18,150,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats,Pilot/Flying J pricing + locations,Austinburg,OH,Austinburg,OH,yes,no,no,no
003,3,Pilot,Pilot Travel Center,1150 North Canfield Niles Road,Youngstown,OH,44515,41.12874281677272,-80.76935871831589,(330) 505-3532,DSL,5.199,5.149,4.323,2026-06-18,200,13,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Youngstown,OH,Youngstown,OH,yes,no,no,no
004,4,Pilot,Pilot Travel Center,39115 Colorado Ave,Avon,OH,44011,41.46542685866315,-82.06033914723615,(440) 934-0110,DSL,5.159,5.109,4.4257,2026-06-18,55,6,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Avon,OH,Avon,OH,yes,no,no,no
006,6,Pilot,Pilot Travel Center,61700 Southgate Rd,Cambridge,OH,43725,39.997137,-81.576912,(740) 439-0989,DSL,5.159,5.109,4.3945,2026-06-18,35,5,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Cambridge,OH,Cambridge,OH,yes,no,no,no
008,8,Pilot,Pilot Travel Center,25600 US-23,Circleville,OH,43113,39.557944,-82.957098,(740) 420-0702,DSL,5.099,5.049,4.3745,2026-06-18,55,5,2,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Circleville,OH,Circleville,OH,yes,no,no,no
009,9,Pilot,Pilot Travel Center,6830 Franklin Lebanon Rd,Franklin,OH,45005,39.542654037902615,-84.29043254773055,(937) 746-4488,DSL,4.859,4.809,4.4281,2026-06-18,200,11,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Dunkin Donuts | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Franklin,OH,Franklin,OH,yes,no,no,no
011,11,Pilot,Pilot Travel Center,10920 Market St,North Lima,OH,44452,40.959842,-80.660301,(330) 549-9203,DSL,5.259,5.209,4.313,2026-06-18,50,6,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,North Lima,OH,North Lima,OH,yes,no,no,no
012,12,Pilot,Pilot Travel Center,3430 Libbey Rd,Perrysburg,OH,43551,41.52268729754443,-83.46222870809477,(419) 837-5091,DSL,4.899,4.849,4.3599,2026-06-18,23,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Perrysburg,OH,Perrysburg,OH,yes,no,no,no
013,13,Pilot,Pilot Travel Center,8924 Lake Rd,Seville,OH,44273,41.02966364720154,-81.90729066118905,(330) 769-4220,DSL,5.099,5.049,4.4232,2026-06-18,190,11,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Seville,OH,Seville,OH,yes,no,no,no
014,14,Pilot,Pilot Travel Center,7680 E OH-37,Sunbury,OH,43074,40.265891962095886,-82.92406929679203,(740) 965-5540,DSL,5.099,5.049,4.3745,2026-06-18,115,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Sunbury,OH,Sunbury,OH,yes,no,no,no
017,17,Pilot,Pilot Travel Center,15901 11 Mile Rd,Battle Creek,MI,49014,42.3029751720004,-85.08241893488058,(269) 968-9949,DSL,5.199,5.149,4.5356,2026-06-18,75,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Battle Creek,MI,Battle Creek,MI,yes,no,no,no
021,21,Pilot,Pilot Travel Center,750 Baker Rd,Dexter,MI,48130,42.30171762475405,-83.87721526025771,(734) 426-4618,DSL,5.199,5.149,4.5841,2026-06-18,80,5,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Dexter,MI,Dexter,MI,yes,no,no,no
024,24,Pilot,Pilot Travel Center,1100 N Dixie Hwy,Monroe,MI,48162,41.9247909,-83.3661458,(734) 242-9650,DSL,5.199,5.149,4.5866,2026-06-18,20,6,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Monroe,MI,Monroe,MI,yes,no,no,no
026,26,Pilot,Pilot Travel Center,6158 US-223,Ottawa Lake,MI,49267,41.799049,-83.694294,(734) 854-1772,DSL,5.199,5.149,4.6049,2026-06-18,230,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Ottawa Lake,MI,Ottawa Lake,MI,yes,no,no,no
